NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2022;712;1546445;CENTRO UNIVERSITÁRIO IBMR;Redes De Computadores;;;ead_concentracao_100_mais;"9 municipios; 5 zerados; 0 valores ausentes; total 108.0; maior 103.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;1060;1303431;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"14 municipios; 4 zerados; 0 valores ausentes; total 817.0; maior 773.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;1075;1526019;CENTRO UNIVERSITÁRIO - UNIESP;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 0 zerados; 0 valores ausentes; total 471.0; maior 440.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;124;1443889;UNIVERSIDADE DE ARARAQUARA;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 1 zerados; 0 valores ausentes; total 129.0; maior 123.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;1388;1496478;CENTRO UNIVERSITÁRIO SUMARÉ;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 2 zerados; 0 valores ausentes; total 153.0; maior 150.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;1422;1510916;CENTRO UNIVERSITÁRIO DO NORTE;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"10 municipios; 6 zerados; 0 valores ausentes; total 224.0; maior 221.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;15859;1439413;Faculdade Católica Paulista;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"11 municipios; 5 zerados; 0 valores ausentes; total 300.0; maior 291.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;165;1431648;UNIVERSIDADE VEIGA DE ALMEIDA;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"15 municipios; 3 zerados; 0 valores ausentes; total 1233.0; maior 1116.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;165;1452878;UNIVERSIDADE VEIGA DE ALMEIDA;Gestão Da Tecnologia Da Informação;;;ead_concentracao_100_mais;"10 municipios; 3 zerados; 0 valores ausentes; total 336.0; maior 312.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;1892;1308555;Centro Universitário de Excelência Eniac;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"10 municipios; 1 zerados; 0 valores ausentes; total 245.0; maior 225.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;2497;1473201;CENTRO UNIVERSITÁRIO ATENEU;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"11 municipios; 3 zerados; 0 valores ausentes; total 126.0; maior 117.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;338;1550657;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"15 municipios; 0 zerados; 0 valores ausentes; total 1127.0; maior 1052.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2023;338;1550713;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Sistemas De Informação;;;ead_concentracao_100_mais;"14 municipios; 1 zerados; 0 valores ausentes; total 524.0; maior 472.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
