NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS;N_CURSOS_ALERTA;N_CURSOS_ATENCAO;N_CURSOS_INFORMACAO;N_CURSOS_SEM_OBSERVACOES;PCT_CURSOS_COM_ALERTA;PRINCIPAIS_OBSERVACOES;TEXTO_ENTENDA
2011;4017;CENTRO UNIVERSITÁRIO PADRE ANCHIETA;2;0;0;0;2;0.0;;Em 2011, CENTRO UNIVERSITÁRIO PADRE ANCHIETA tem 2 cursos de Computação na base. Nenhum tem observações.
2011;402;CENTRO UNIVERSITÁRIO DE BRASÍLIA;3;0;0;0;3;0.0;;Em 2011, CENTRO UNIVERSITÁRIO DE BRASÍLIA tem 3 cursos de Computação na base. Nenhum tem observações.
2011;4020;FACULDADE DE TECNOLOGIA DE BOTUCATU;2;0;0;0;2;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE BOTUCATU tem 2 cursos de Computação na base. Nenhum tem observações.
2011;4021;FACULDADE DE TECNOLOGIA DE GARÇA;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE GARÇA tem 1 curso de Computação na base. Nenhum tem observações.
2011;4022;FACULDADE DE TECNOLOGIA DE JUNDIAÍ;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE JUNDIAÍ tem 1 curso de Computação na base. Nenhum tem observações.
2011;4023;FACULDADE DE TECNOLOGIA DE MAUÁ;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE MAUÁ tem 1 curso de Computação na base. Nenhum tem observações.
2011;4024;FACULDADE DE TECNOLOGIA DE MOCOCA;3;1;0;0;2;33.3;Zero inscritos informados (1 curso);Em 2011, FACULDADE DE TECNOLOGIA DE MOCOCA tem 3 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;4025;FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO tem 1 curso de Computação na base. Nenhum tem observações.
2011;4026;FACULDADE DE TECNOLOGIA ZONA LESTE;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA ZONA LESTE tem 1 curso de Computação na base. Nenhum tem observações.
2011;4029;FACULDADE POLITEC;2;0;0;0;2;0.0;;Em 2011, FACULDADE POLITEC tem 2 cursos de Computação na base. Nenhum tem observações.
2011;403;UNIVERSIDADE CATÓLICA DE BRASÍLIA;9;1;0;0;8;11.1;Zero inscritos informados (1 curso);Em 2011, UNIVERSIDADE CATÓLICA DE BRASÍLIA tem 9 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;4036;FACULDADE DE TECNOLOGIA DE CATALÃO;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE CATALÃO tem 1 curso de Computação na base. Nenhum tem observações.
2011;404;FACULDADES INTEGRADAS DA UPIS;1;0;0;0;1;0.0;;Em 2011, FACULDADES INTEGRADAS DA UPIS tem 1 curso de Computação na base. Nenhum tem observações.
2011;4043;FACULDADE TECNOLOGIA EDUVALE - AVARÉ;2;0;0;1;1;0.0;Código do curso aparece em outra instituição (1 curso);Em 2011, FACULDADE TECNOLOGIA EDUVALE - AVARÉ tem 2 cursos de Computação na base. 1 tem só nota informativa. Principais observações: Código do curso aparece em outra instituição (1 curso).
2011;4066;FACULDADE BATISTA DO ESTADO DO RIO DE JANEIRO - FABERJ;1;0;0;0;1;0.0;;Em 2011, FACULDADE BATISTA DO ESTADO DO RIO DE JANEIRO - FABERJ tem 1 curso de Computação na base. Nenhum tem observações.
2011;4077;FACULDADE DE TECNOLOGIA DE GRAVATAÍ;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE GRAVATAÍ tem 1 curso de Computação na base. Nenhum tem observações.
2011;409;UNIVERSIDADE DE PERNAMBUCO;2;0;0;0;2;0.0;;Em 2011, UNIVERSIDADE DE PERNAMBUCO tem 2 cursos de Computação na base. Nenhum tem observações.
2011;4093;FACULDADE DE TECNOLOGIA DE CURITIBA;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE CURITIBA tem 1 curso de Computação na base. Nenhum tem observações.
2011;4094;FACULDADE DE TECNOLOGIA IBRATEC DE JOÃO PESSOA;2;0;0;0;2;0.0;;Em 2011, FACULDADE DE TECNOLOGIA IBRATEC DE JOÃO PESSOA tem 2 cursos de Computação na base. Nenhum tem observações.
2011;4095;FACULDADE DE TECNOLOGIA EQUIPE DARWIN;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA EQUIPE DARWIN tem 1 curso de Computação na base. Nenhum tem observações.
2011;4096;FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE PORTO ALEGRE;3;0;0;0;3;0.0;;Em 2011, FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE PORTO ALEGRE tem 3 cursos de Computação na base. Nenhum tem observações.
2011;4097;FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE BENTO GONÇALVES;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE BENTO GONÇALVES tem 1 curso de Computação na base. Nenhum tem observações.
2011;4098;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA;3;0;0;0;3;0.0;;Em 2011, INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA tem 3 cursos de Computação na base. Nenhum tem observações.
2011;4101;FACULDADE DE TECNOLOGIA SENAI DE DESENVOLVIMENTO GERENCIAL;2;0;0;0;2;0.0;;Em 2011, FACULDADE DE TECNOLOGIA SENAI DE DESENVOLVIMENTO GERENCIAL tem 2 cursos de Computação na base. Nenhum tem observações.
2011;4104;ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG;1;0;0;0;1;0.0;;Em 2011, ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG tem 1 curso de Computação na base. Nenhum tem observações.
